Disease name:	lung squamous cell carcinoma
miRNA_name	PMID	Description	Causality
hsa-mir-183	25813410	This study describes the use of deep sequencing for comprehensive profiling of microRNAs in lung squamous cell carcinoma. The identified microRNA signatures may provide biomarkers for early detection, subclassification, and potential therapeutic targets of lung squamous cell carcinoma. This study also provides some insights into the molecular mechanism underlying the development and progression of lung squamous cell carcinoma, which may prove helpful for early diagnosis and treatment of the disease.	NO
hsa-mir-185	20620595	miR-185:The miRNAs miR-185 * and miR-125a-5p were significantly upregulated in lung SCC	NO
hsa-mir-192	29571988	MiR-192 and miR-662 enhance chemoresistance and invasiveness of squamous cell lung carcinoma	NO
hsa-mir-193a	20620595	miR-193a-3p:Seven human miRNAs (miR-126, miR-193a-3p, miR-30d, miR-30a, miR-101, let-7i, and miR-15a) were found to be significantly downregulated in lung SCC	NO
hsa-mir-196a	23074073	Validation of selected microRNAs by in situ hybridization demonstrated strong expression of hsa-miR-196a in the inner tumor; moderate expression of hsa-miR-224 in the inner tumor and tumor front, and strong expression of hsa-miR-650 in the adjacent lung tissue.	NO
hsa-mir-19a	24130905	Tumor cells secrete miRNA-containing exosomes into circulation, and that miRNA profiling of the exosomal plasma fraction may reveal powerful cancer biomarkers.	NO
hsa-mir-19b	24130905	Tumor cells secrete miRNA-containing exosomes into circulation, and that miRNA profiling of the exosomal plasma fraction may reveal powerful cancer biomarkers.	NO
hsa-mir-205	24130905	Tumor cells secrete miRNA-containing exosomes into circulation, and that miRNA profiling of the exosomal plasma fraction may reveal powerful cancer biomarkers.	NO
hsa-mir-205	25521201	rule discovery followed by distance separation is a powerful computational method to identify reliable miRNA biomarkers. The visualization of the rules and the clear separation between the normal and cancer samples by our rules will help biology experts for their analysis and biological interpretation.	NO
hsa-mir-205	24438615	We confirmed the high diagnostic accuracy of miR-205 in discriminating SQ from AC and SCLC in Chinese patients. Moreover, we identified 11 significant target genes of miR-205 which could be used for further functional studies as the basis for the development of SQ targeted therapies.	NO
hsa-mir-206	25522678	the novel molecular mechanisms of lung-SCC oncogenesis and new therapeutic approaches for the treatment of this disease.	NO
hsa-mir-20a	24130905	Tumor cells secrete miRNA-containing exosomes into circulation, and that miRNA profiling of the exosomal plasma fraction may reveal powerful cancer biomarkers.	NO
hsa-mir-21	29673101	a four-miRNA signature (miR-181a-5p, miR-21-5p, miR-106a-5p, and miR-93-5p) was identified for LSCC detection	NO
hsa-mir-21	25084400	MicroRNA-21 (miR-21) regulates cellular proliferation, invasion, migration, and apoptosis by targeting PTEN, RECK and Bcl-2 in lung squamous carcinoma, Gejiu City, China.	YES
hsa-mir-210	21890451	The authors identified a five-microRNA classifier (hsa-miR-210, hsa-miR-182, hsa-miR-486-5p, hsa-miR-30a and hsa-miR-140-3p) that could distinguish SCC (Squamous cell carcinoma) from normal lung tissues.	NO
hsa-mir-218	27633630	Regulation of TPD52 by antitumor microRNA-218 suppresses cancer cell migration and invasion in lung squamous cell carcinoma.	YES
hsa-mir-218	25813410	This study describes the use of deep sequencing for comprehensive profiling of microRNAs in lung squamous cell carcinoma. The identified microRNA signatures may provide biomarkers for early detection, subclassification, and potential therapeutic targets of lung squamous cell carcinoma. This study also provides some insights into the molecular mechanism underlying the development and progression of lung squamous cell carcinoma, which may prove helpful for early diagnosis and treatment of the disease.	NO
hsa-mir-224	23074073	Validation of selected microRNAs by in situ hybridization demonstrated strong expression of hsa-miR-196a in the inner tumor; moderate expression of hsa-miR-224 in the inner tumor and tumor front, and strong expression of hsa-miR-650 in the adjacent lung tissue.	NO
hsa-mir-24	27666488	MicroRNAs modulate the expression of the SOX18 transcript in lung squamous cell carcinoma.	NO
hsa-mir-29	26676674	Elucidation of the novel lung SCC molecular pathways and targets regulated by tumor-suppressive miR-29s will provide new insights into the potential mechanisms of oncogenesis and metastasis of the disease.	YES
hsa-mir-296	30337605	miR-296-5p, miR-324-3p, and miR-3928-3p expression was significantly associated with poor prognosis	NO
hsa-mir-30a	20620595	miR-30a:Seven human miRNAs (miR-126, miR-193a-3p, miR-30d, miR-30a, miR-101, let-7i, and miR-15a) were found to be significantly downregulated in lung SCC	NO
hsa-mir-30a	21890451	The authors identified a five-microRNA classifier (hsa-miR-210, hsa-miR-182, hsa-miR-486-5p, hsa-miR-30a and hsa-miR-140-3p) that could distinguish SCC (Squamous cell carcinoma) from normal lung tissues.	NO
hsa-mir-30b	24130905	Tumor cells secrete miRNA-containing exosomes into circulation, and that miRNA profiling of the exosomal plasma fraction may reveal powerful cancer biomarkers.	NO
hsa-mir-30d	20620595	miR-30d:Seven human miRNAs (miR-126, miR-193a-3p, miR-30d, miR-30a, miR-101, let-7i, and miR-15a) were found to be significantly downregulated in lung SCC	NO
hsa-mir-324	30337605	miR-296-5p, miR-324-3p, and miR-3928-3p expression was significantly associated with poor prognosis	NO
hsa-mir-375	28214218	Implication of downregulation and prospective pathway signaling of microRNA-375 in lung squamous cell carcinoma.	NO
hsa-mir-3928	30337605	miR-296-5p, miR-324-3p, and miR-3928-3p expression was significantly associated with poor prognosis	NO
hsa-mir-425	25813410	This study describes the use of deep sequencing for comprehensive profiling of microRNAs in lung squamous cell carcinoma. The identified microRNA signatures may provide biomarkers for early detection, subclassification, and potential therapeutic targets of lung squamous cell carcinoma. This study also provides some insights into the molecular mechanism underlying the development and progression of lung squamous cell carcinoma, which may prove helpful for early diagnosis and treatment of the disease.	NO
hsa-mir-486	21890451	The authors identified a five-microRNA classifier (hsa-miR-210, hsa-miR-182, hsa-miR-486-5p, hsa-miR-30a and hsa-miR-140-3p) that could distinguish SCC (Squamous cell carcinoma) from normal lung tissues.	NO
hsa-mir-588	27571908	MicroRNA-588 suppresses tumor cell migration and invasion by targeting GRN in lung squamous cell carcinoma.	YES
hsa-mir-650	23074073	Validation of selected microRNAs by in situ hybridization demonstrated strong expression of hsa-miR-196a in the inner tumor; moderate expression of hsa-miR-224 in the inner tumor and tumor front, and strong expression of hsa-miR-650 in the adjacent lung tissue.	NO
hsa-mir-661	19584273	miR-146b alone have the strongest prediction accuracy for stratifying prognostic groups;	NO
hsa-mir-662	29571988	MiR-192 and miR-662 enhance chemoresistance and invasiveness of squamous cell lung carcinoma	NO
hsa-mir-93	29673101	a four-miRNA signature (miR-181a-5p, miR-21-5p, miR-106a-5p, and miR-93-5p) was identified for LSCC detection	NO
hsa-mir-98	25521201	rule discovery followed by distance separation is a powerful computational method to identify reliable miRNA biomarkers. The visualization of the rules and the clear separation between the normal and cancer samples by our rules will help biology experts for their analysis and biological interpretation.	NO
