Disease name:	Thyroid Carcinoma, Anaplastic
miRNA_name	PMID	Description	Causality
hsa-mir-19a	32009794	miR-19a, a member of miR92 cluster, has been demonstrated to promote cell growth in anaplastic thyroid cancer (ATC), the most advanced and aggressive thyroid cancer. CONCLUSION: Our findings reveal the existence of functional associations between miR-19a expression and thyroid cancer progression and malignancy suggesting miR-19a as a novel candidate therapeutic target for ATC.	Unknown
hsa-mir-17	31578932	Thus, targeting miR92 could provide a potential molecular approach to restoring thyroid cell differentiation and NIS expression in aggressive thyroid cancer.	Unknown
hsa-mir-124	34421987	Moreover, ROR1 expression was decreased with the downregulation of RP11-395G23.3, but was rescued by the co-transfection of the miR3p inhibitor in ATC cells. Our research suggested that the RP11-395G23.3/miR3p/ROR1 axis potentially acted as a potential target for the diagnosis of ATC.	Unknown
hsa-mir-148a	33486611	CONCLUSION: UCA1 attenuated the killing effect of cytotoxic CD8 T cells on ATC cells through the miR-148a/PD-L1 pathway.	Unknown
hsa-mir-381	34719830	miR-381-3p and HOXA9 may be promising molecular targets for preventing ATC progression and drug resistance.	Unknown
hsa-mir-650	30927143	These results suggest that miR-650/PPP2CA axis could be modulated to interfere with motile ability of thyroid carcinoma cells.	Unknown
hsa-mir-599	31555352	Therefore miR-599 may be a novel molecular therapeutic target for ATC.	Unknown
hsa-mir-10b	29397781	These results demonstrate that IR deregulates microRNA expression, affecting the double-strand DNA breaks repair efficiency of irradiated thyroid cells, and suggest that miR-10b-5p overexpression may be an innovative approach for anaplastic thyroid cancer therapy by increasing cancer cell radiosensitivity.	NO
hsa-mir-122	23598436	Redifferentiation and induction of tumor suppressors miR-122 and miR-375 by the PAX8/PPARγ fusion protein inhibits anaplastic thyroid cancer: a novel therapeutic strategy.	NO
hsa-mir-125b	28122310	MiR-125b inhibits anaplastic thyroid cancer cell migration and invasion by targeting PIK3CD.	YES
hsa-mir-125b	17563749	The overexpression of these four miRs in two human ATC-derived cell lines suggests a critical role of miR-125b and miR-26a downregulation in thyroid carcinogenesis, since a cell growth inhibition was achieved.	NO
hsa-mir-144	29504819	Effects of miR-144 on the sensitivity of human anaplastic thyroid carcinoma cells to cisplatin by autophagy regulation.	NO
hsa-mir-146a	20061417	Nuclear factor-{kappa}B contributes to anaplastic thyroid carcinomas through up-regulation of miR-146a.	NO
hsa-mir-146b	27602131	p21 participates in the regulation of anaplastic thyroid cancer cell proliferation by miR-146b.	NO
hsa-mir-17	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-18	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-19a	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-19b-1	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-200a	25542369	Restoration of miR-200 expression by pre-miR-200a/c transfection reversed the process, including increased E-cadherin and decreased vimentin.	YES
hsa-mir-205	29317480	This may open avenues to exploit miR-205 as an alternative cancer therapeutic strategy in the future	YES
hsa-mir-20a	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-26a	17563749	The overexpression of these four miRs in two human ATC-derived cell lines suggests a critical role of miR-125b and miR-26a downregulation in thyroid carcinogenesis, since a cell growth inhibition was achieved.	NO
hsa-mir-375	23598436	Redifferentiation and induction of tumor suppressors miR-122 and miR-375 by the PAX8/PPARγ fusion protein inhibits anaplastic thyroid cancer: a novel therapeutic strategy.	NO
hsa-mir-483	30171257	MicroRNA 483-3p targets Pard3 to potentiate TGF-β1-induced cell migration, invasion, and epithelial-mesenchymal transition in anaplastic thyroid cancer cells.	YES
hsa-mir-92-1	18429962	Thus, we have clarified functional differences among the members of the cluster in ATC cells. In conclusion, these findings suggest that the miR-17-92 cluster plays an important role in certain types of ATCs and could be a novel target for ATC treatment.	YES
hsa-mir-99a	26163618	MiR-99a Inhibits Cell Proliferation and Tumorigenesis through Targeting mTOR in Human Anaplastic Thyroid Cancer.	YES
